
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-4999,-4260,-1691,-1625.5,accel_data
Y,-3161,-2701,-1227,-1841,accel_data
X,-3920,-2682,-1097,-1374.5,accel_data
Relative Altitude,-1563,-1115,-569,-547.25,bar_data
Pressure,-1754,-1245,-552,-547.25,bar_data
Z,-3028,-2072,-905,-1196.5,gyro_data
Y,-4631,-3808,-1283,-1483.5,gyro_data
X,-3821,-2714,-1447,-1282,gyro_data
Z,-2050,-1113,-715,-46.25,grav_data
Y,-1343,-1264,-423,-1.75,grav_data
X,-936,-911,-277,-648.75,grav_data
qz,-1421,-741,-261,-142.75,orient_data
qy,-2423,-1009,-319,-106,orient_data
qx,-2508,-1399,-428,-161,orient_data
qw,-1321,-798,-284,-141.5,orient_data
roll,-1999,-850,-603,-368,orient_data
pitch,-1269,-913,-465,-284.25,orient_data
yaw,-1869,-1109,-471,-346.75,orient_data
