
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-419,-108,18,2,accel_data
Y,-323,-295,68,-26,accel_data
X,-466,-320,51,16,accel_data
Relative Altitude,0,100,152,116.5,bar_data
Pressure,-17,-15,180,116.5,bar_data
Z,-484,-186,134,38.5,gyro_data
Y,-475,-240,116,-5,gyro_data
X,-385,-261,109,113.5,gyro_data
Z,-117,-1,161,208.75,grav_data
Y,-27,-1,212,222.5,grav_data
X,36,131,211,168.5,grav_data
qz,0,120,221,260,orient_data
qy,-162,35,200,260,orient_data
qx,-170,48,224,266.25,orient_data
qw,-9,102,230,254,orient_data
roll,-118,40,154,215.25,orient_data
pitch,-33,123,173,171.5,orient_data
yaw,11,138,239,255.75,orient_data
